index,date,secPrecipBulk,year
1201,2020-05-24,0.0,2020.0
1202,2020-05-25,0.0,2020.0
1203,2020-05-26,0.0,2020.0
1204,2020-05-27,0.0,2020.0
1205,2020-05-28,0.0,2020.0
1206,2020-05-29,0.509,2020.0
1207,2020-05-30,4.578,2020.0
1208,2020-05-31,0.0,2020.0
1209,2020-06-01,0.0,2020.0
1210,2020-06-02,0.0,2020.0
1211,2020-06-03,0.0,2020.0
1212,2020-06-04,0.0,2020.0
1213,2020-06-05,5.595000000000001,2020.0
1214,2020-06-06,2.035,2020.0
1215,2020-06-07,0.0,2020.0
1216,2020-06-08,0.0,2020.0
1217,2020-06-09,0.0,2020.0
1218,2020-06-10,0.0,2020.0
1219,2020-06-11,7.122,2020.0
1220,2020-06-12,0.0,2020.0
1221,2020-06-13,0.0,2020.0
1222,2020-06-14,0.0,2020.0
1223,2020-06-15,0.0,2020.0
1224,2020-06-16,0.0,2020.0
1225,2020-06-17,0.0,2020.0
1226,2020-06-18,0.0,2020.0
1227,2020-06-19,0.0,2020.0
1228,2020-06-20,0.0,2020.0
1229,2020-06-21,0.0,2020.0
1230,2020-06-22,0.0,2020.0
1231,2020-06-23,0.0,2020.0
1232,2020-06-24,0.0,2020.0
1233,2020-06-25,0.0,2020.0
1234,2020-06-26,0.0,2020.0
1235,2020-06-27,1.018,2020.0
1236,2020-06-28,1.017,2020.0
1237,2020-06-29,4.58,2020.0
1238,2020-06-30,21.875,2020.0
1239,2020-07-01,9.158,2020.0
1240,2020-07-02,3.053,2020.0
1241,2020-07-03,0.0,2020.0
1242,2020-07-04,0.0,2020.0
1243,2020-07-05,0.0,2020.0
1244,2020-07-06,0.0,2020.0
1245,2020-07-07,0.0,2020.0
1246,2020-07-08,2.544,2020.0
1247,2020-07-09,0.0,2020.0
1248,2020-07-10,4.578,2020.0
1249,2020-07-11,9.668,2020.0
1250,2020-07-12,3.052,2020.0
1251,2020-07-13,0.0,2020.0
1252,2020-07-14,2.543,2020.0
1253,2020-07-15,0.0,2020.0
1254,2020-07-16,0.509,2020.0
1255,2020-07-17,14.244,2020.0
1256,2020-07-18,0.0,2020.0
1257,2020-07-19,0.0,2020.0
1258,2020-07-20,0.0,2020.0
1259,2020-07-21,0.0,2020.0
1260,2020-07-22,10.683,2020.0
1261,2020-07-23,55.448,2020.0
1262,2020-07-24,0.0,2020.0
1263,2020-07-25,0.0,2020.0
1264,2020-07-26,0.0,2020.0
1265,2020-07-27,0.0,2020.0
1266,2020-07-28,0.0,2020.0
1267,2020-07-29,0.0,2020.0
1268,2020-07-30,11.7,2020.0
1269,2020-07-31,0.0,2020.0
1270,2020-08-01,0.0,2020.0
1271,2020-08-02,13.735,2020.0
1272,2020-08-03,0.0,2020.0
1273,2020-08-04,8.14,2020.0
1274,2020-08-05,0.0,2020.0
1275,2020-08-06,0.0,2020.0
1276,2020-08-07,0.0,2020.0
1277,2020-08-08,0.0,2020.0
1278,2020-08-09,0.0,2020.0
1279,2020-08-10,0.0,2020.0
1280,2020-08-11,0.0,2020.0
1281,2020-08-12,0.0,2020.0
1282,2020-08-13,0.0,2020.0
1283,2020-08-14,0.0,2020.0
1284,2020-08-15,0.0,2020.0
1285,2020-08-16,0.0,2020.0
1286,2020-08-17,0.0,2020.0
1287,2020-08-18,1.5270000000000001,2020.0
1288,2020-08-19,7.631,2020.0
1289,2020-08-20,0.0,2020.0
1290,2020-08-21,0.0,2020.0
1291,2020-08-22,2.035,2020.0
1292,2020-08-23,33.065999999999995,2020.0
1293,2020-08-24,0.0,2020.0
1294,2020-08-25,0.0,2020.0
1295,2020-08-26,0.0,2020.0
1296,2020-08-27,12.209,2020.0
1297,2020-08-28,0.0,2020.0
1298,2020-08-29,17.803,2020.0
1299,2020-08-30,12.209,2020.0
1300,2020-08-31,0.0,2020.0
1301,2020-09-01,0.0,2020.0
1302,2020-09-02,4.579,2020.0
1303,2020-09-03,0.0,2020.0
1304,2020-09-04,0.0,2020.0
1305,2020-09-05,1.017,2020.0
1306,2020-09-06,0.0,2020.0
1307,2020-09-07,0.0,2020.0
1308,2020-09-08,0.0,2020.0
1309,2020-09-09,0.0,2020.0
